level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
67,83,IT-BCi,2004,2014,40.5238,14.9574,20,CRO,1209.401564,17.30647595,804.711983,1809.894564,1066.883206,600,18,0.665704652,1.22752809,1.375996856,745,0.575351496,0.078014542,0.009392256,1.07929046,0.1806556,0.209679393,0.238584487,0.02051443,0.05054791,0.141565572,0.107033157,0.241788567
68,84,IT-CA1,2011,2014,42.3804,12.0266,200,DBF,540.8214318,16.75210076,762.9372786,1498.983144,1186.911686,766,14,0.251413429,3.619303846,1.50374477,1683,0.20318599,0.111806514,0.00989026,0.458821202,0.128773011,0.145325817,0.172163348,0.136445183,0.066397432,0.087961928,0.151194451,0.134470283
69,85,IT-CA2,2011,2014,42.3772,12.026,200,CRO,518.1175724,16.10281013,486.1543037,1874.541004,993.9660179,766,14,0.550602876,0.228809524,1.405725892,1068,0.383829303,0.041740424,0.008386898,0.474372864,0.046591425,0.057197338,0.070592299,0.025671303,0.057009157,0.034901265,0.065230398,0.090209011
70,86,IT-CA3,2011,2014,42.38,12.0222,197,DBF,657.9368615,14.01231424,638.5302199,1156.95552,840.5628053,766,14,0.637159523,2.187113043,1.501283145,422,0.602553585,0.043370652,0.014199135,0.217726679,0.2073256,0.218003042,0.234743563,1.62E-23,2.17E-13,0.001327242,0.063745016,0.180230254
71,87,IT-Col,1996,2014,41.8494,13.5881,1560,DBF,1108.687643,8.202012447,474.4239571,1225.52351,1152.638647,1180,6.3,0.264975263,21.46842105,4.564399666,3692,0.208213568,0.039183074,0.005214333,0.402617553,0.036457789,0.040649089,0.046722722,3.89E-21,0.093182376,0.102192524,0.051524092,0.047126546
72,88,IT-Cp2,2012,2014,41.7043,12.3573,19,EBF,866.0313481,16.61235716,503.9591395,829.7554381,1172.803177,805,15.2,0.369845405,12.8,3.555392368,253,0.203566648,0.076444599,0.007146441,0.283231588,0.040637203,0.046354764,0.055536041,0.073916211,0.025517498,0.181636206,0.151546667,0.059166475
73,89,IT-Cpz,1997,2009,41.7052,12.3761,68,EBF,773.7197034,16.06751922,532.9074236,916.41786,1355.799807,780,15.6,0.338894615,14.05555556,3.398501397,7203,0.263535728,0.060131476,0.00597901,0.802221837,0.039929267,0.045247086,0.053074506,0.027706475,0.093897991,0.099387254,0.075952767,0.044733025
74,90,IT-Isp,2013,2014,45.8126,8.6336,210,DBF,2024.438835,13.38080502,568.6117632,1514.792043,1023.7888,1300,12.2,0.144545467,26,2.5920018,954,0.121174634,0.091565605,0.004650582,5.37E-17,0.082735241,0.093403949,0.109214148,0.155548339,0.114812092,0.082619784,0.056582622,0.1118178
75,92,IT-Lav,2003,2014,45.9562,11.2813,1353,ENF,1409.446208,7.644069184,714.2303814,772.3886036,1071.255233,1291,7.8,0.185162026,28,2.74428061,3858,0.17590934,0.138557951,0.004601231,0.50766352,0.07471557,0.08399471,0.096331289,0.101127778,0.13734588,0.157964676,0.151728673,0.092519219
76,93,IT-MBo,2003,2013,46.0147,11.0458,1550,GRA,969.757546,5.512678167,522.8362085,883.9062647,577.0632061,1214,5.1,0.333992924,0.3,1.970532278,2432,0.341317307,0.149091605,0.016755847,0.618805789,0.287682117,0.32996863,0.409358449,0.128705736,0.153782876,0.195531375,0.143194655,0.369476605
